GO ID	GO term	Organism	Proteome File
GO:0005635	nuclear envelope	A. thaliana	UP000006548_3702
GO:0005643	nuclear pore	A. thaliana	UP000006548_3702
GO:0005694	chromosome	A. thaliana	UP000006548_3702
GO:0005737	cytoplasm	A. thaliana	UP000006548_3702
GO:0005739	mitochondrion	A. thaliana	UP000006548_3702
GO:0005768	endosome	A. thaliana	UP000006548_3702
GO:0005773	vacuole	A. thaliana	UP000006548_3702
GO:0005794	Golgi apparatus	A. thaliana	UP000006548_3702
GO:0005802	trans-Golgi network	A. thaliana	UP000006548_3702
GO:0005819	spindle	A. thaliana	UP000006548_3702
GO:0005829	cytosol	A. thaliana	UP000006548_3702
GO:0005871	kinesin complex	A. thaliana	UP000006548_3702
GO:0005874	microtubule	A. thaliana	UP000006548_3702
GO:0005886	plasma membrane	A. thaliana	UP000006548_3702
GO:0005887	integral component of plasma membrane	A. thaliana	UP000006548_3702
GO:0005975	carbohydrate metabolic process	A. thaliana	UP000006548_3702
GO:0005982	starch metabolic process	A. thaliana	UP000006548_3702
GO:0006004	fucose metabolic process	A. thaliana	UP000006548_3702
GO:0006075	(1->3)-beta-D-glucan biosynthetic process	A. thaliana	UP000006548_3702
GO:0006096	glycolytic process	A. thaliana	UP000006548_3702
GO:0006268	DNA unwinding involved in DNA replication	A. thaliana	UP000006548_3702
GO:0006281	DNA repair	A. thaliana	UP000006548_3702
GO:0006302	double-strand break repair	A. thaliana	UP000006548_3702
GO:0006306	DNA methylation	A. thaliana	UP000006548_3702
GO:0006310	DNA recombination	A. thaliana	UP000006548_3702
GO:0006325	chromatin organization	A. thaliana	UP000006548_3702
GO:0006338	chromatin remodeling	A. thaliana	UP000006548_3702
GO:0006397	mRNA processing	A. thaliana	UP000006548_3702
GO:0006417	regulation of translation	A. thaliana	UP000006548_3702
GO:0006468	protein phosphorylation	A. thaliana	UP000006548_3702
GO:0006470	protein dephosphorylation	A. thaliana	UP000006548_3702
GO:0006486	protein glycosylation	A. thaliana	UP000006548_3702
GO:0006508	proteolysis	A. thaliana	UP000006548_3702
GO:0006606	protein import into nucleus	A. thaliana	UP000006548_3702
GO:0006631	fatty acid metabolic process	A. thaliana	UP000006548_3702
GO:0006813	potassium ion transport	A. thaliana	UP000006548_3702
GO:0006816	calcium ion transport	A. thaliana	UP000006548_3702
GO:0006817	phosphate ion transport	A. thaliana	UP000006548_3702
GO:0006885	regulation of pH	A. thaliana	UP000006548_3702
GO:0006887	exocytosis	A. thaliana	UP000006548_3702
GO:0006893	Golgi to plasma membrane transport	A. thaliana	UP000006548_3702
GO:0006897	endocytosis	A. thaliana	UP000006548_3702
GO:0006898	receptor-mediated endocytosis	A. thaliana	UP000006548_3702
GO:0006952	defense response	A. thaliana	UP000006548_3702
GO:0006974	cellular response to DNA damage stimulus	A. thaliana	UP000006548_3702
GO:0007018	microtubule-based movement	A. thaliana	UP000006548_3702
GO:0007033	vacuole organization	A. thaliana	UP000006548_3702
GO:0007062	sister chromatid cohesion	A. thaliana	UP000006548_3702
GO:0007166	cell surface receptor signaling pathway	A. thaliana	UP000006548_3702
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	A. thaliana	UP000006548_3702
GO:0008017	microtubule binding	A. thaliana	UP000006548_3702
GO:0008066	glutamate receptor activity	A. thaliana	UP000006548_3702
GO:0008270	zinc ion binding	A. thaliana	UP000006548_3702
GO:0008380	RNA splicing	A. thaliana	UP000006548_3702
GO:0008422	beta-glucosidase activity	A. thaliana	UP000006548_3702
GO:0008553	P-type proton-exporting transporter activity	A. thaliana	UP000006548_3702
GO:0008559	ABC-type xenobiotic transporter activity	A. thaliana	UP000006548_3702
GO:0008574	plus-end-directed microtubule motor activity	A. thaliana	UP000006548_3702
GO:0009395	phospholipid catabolic process	A. thaliana	UP000006548_3702
GO:0009451	RNA modification	A. thaliana	UP000006548_3702
GO:0009505	plant-type cell wall	A. thaliana	UP000006548_3702
GO:0009506	plasmodesma	A. thaliana	UP000006548_3702
GO:0009507	chloroplast	A. thaliana	UP000006548_3702
GO:0009524	phragmoplast	A. thaliana	UP000006548_3702
GO:0009553	embryo sac development	A. thaliana	UP000006548_3702
GO:0009555	pollen development	A. thaliana	UP000006548_3702
GO:0009570	chloroplast stroma	A. thaliana	UP000006548_3702
GO:0009624	response to nematode	A. thaliana	UP000006548_3702
GO:0009626	plant-type hypersensitive response	A. thaliana	UP000006548_3702
GO:0009638	phototropism	A. thaliana	UP000006548_3702
GO:0009651	response to salt stress	A. thaliana	UP000006548_3702
GO:0009658	chloroplast organization	A. thaliana	UP000006548_3702
GO:0009705	plant-type vacuole membrane	A. thaliana	UP000006548_3702
GO:0009793	embryo development ending in seed dormancy	A. thaliana	UP000006548_3702
GO:0009826	unidimensional cell growth	A. thaliana	UP000006548_3702
GO:0009833	plant-type primary cell wall biogenesis	A. thaliana	UP000006548_3702
GO:0009846	pollen germination	A. thaliana	UP000006548_3702
GO:0009881	photoreceptor activity	A. thaliana	UP000006548_3702
GO:0009908	flower development	A. thaliana	UP000006548_3702
GO:0009926	auxin polar transport	A. thaliana	UP000006548_3702
GO:0009931	calcium-dependent protein serine/threonine kinase activity	A. thaliana	UP000006548_3702
GO:0009941	chloroplast envelope	A. thaliana	UP000006548_3702
GO:0009975	cyclase activity	A. thaliana	UP000006548_3702
GO:0010008	endosome membrane	A. thaliana	UP000006548_3702
GO:0010073	meristem maintenance	A. thaliana	UP000006548_3702
GO:0010118	stomatal movement	A. thaliana	UP000006548_3702
GO:0010216	maintenance of DNA methylation	A. thaliana	UP000006548_3702
GO:0010305	leaf vascular tissue pattern formation	A. thaliana	UP000006548_3702
GO:0010315	auxin efflux	A. thaliana	UP000006548_3702
GO:0010329	auxin efflux transmembrane transporter activity	A. thaliana	UP000006548_3702
GO:0010333	terpene synthase activity	A. thaliana	UP000006548_3702
GO:0010492	maintenance of shoot apical meristem identity	A. thaliana	UP000006548_3702
GO:0015079	potassium ion transmembrane transporter activity	A. thaliana	UP000006548_3702
GO:0015276	ligand-gated ion channel activity	A. thaliana	UP000006548_3702
GO:0015293	symporter activity	A. thaliana	UP000006548_3702
GO:0015297	antiporter activity	A. thaliana	UP000006548_3702
GO:0015299	solute:proton antiporter activity	A. thaliana	UP000006548_3702
GO:0015301	anion:anion antiporter activity	A. thaliana	UP000006548_3702
GO:0015662	P-type ion transporter activity	A. thaliana	UP000006548_3702
GO:0016020	membrane	A. thaliana	UP000006548_3702
GO:0016021	integral component of membrane	A. thaliana	UP000006548_3702
GO:0016036	cellular response to phosphate starvation	A. thaliana	UP000006548_3702
GO:0016102	diterpenoid biosynthetic process	A. thaliana	UP000006548_3702
GO:0016104	triterpenoid biosynthetic process	A. thaliana	UP000006548_3702
GO:0016157	sucrose synthase activity	A. thaliana	UP000006548_3702
GO:0016174	NAD(P)H oxidase H2O2-forming activity	A. thaliana	UP000006548_3702
GO:0016301	kinase activity	A. thaliana	UP000006548_3702
GO:0016459	myosin complex	A. thaliana	UP000006548_3702
GO:0016491	oxidoreductase activity	A. thaliana	UP000006548_3702
GO:0016571	histone methylation	A. thaliana	UP000006548_3702
GO:0016579	protein deubiquitination	A. thaliana	UP000006548_3702
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	A. thaliana	UP000006548_3702
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	A. thaliana	UP000006548_3702
GO:0016757	glycosyltransferase activity	A. thaliana	UP000006548_3702
GO:0016759	cellulose synthase activity	A. thaliana	UP000006548_3702
GO:0016760	cellulose synthase (UDP-forming) activity	A. thaliana	UP000006548_3702
GO:0016787	hydrolase activity	A. thaliana	UP000006548_3702
GO:0016881	acid-amino acid ligase activity	A. thaliana	UP000006548_3702
GO:0016887	ATP hydrolysis activity	A. thaliana	UP000006548_3702
GO:0017056	structural constituent of nuclear pore	A. thaliana	UP000006548_3702
GO:0017119	Golgi transport complex	A. thaliana	UP000006548_3702
GO:0018024	histone-lysine N-methyltransferase activity	A. thaliana	UP000006548_3702
GO:0018105	peptidyl-serine phosphorylation	A. thaliana	UP000006548_3702
GO:0018108	peptidyl-tyrosine phosphorylation	A. thaliana	UP000006548_3702
GO:0019829	ATPase-coupled cation transmembrane transporter activity	A. thaliana	UP000006548_3702
GO:0019888	protein phosphatase regulator activity	A. thaliana	UP000006548_3702
GO:0020037	heme binding	A. thaliana	UP000006548_3702
GO:0022857	transmembrane transporter activity	A. thaliana	UP000006548_3702
GO:0030048	actin filament-based movement	A. thaliana	UP000006548_3702
GO:0030050	vesicle transport along actin filament	A. thaliana	UP000006548_3702
GO:0030170	pyridoxal phosphate binding	A. thaliana	UP000006548_3702
GO:0030244	cellulose biosynthetic process	A. thaliana	UP000006548_3702
GO:0030246	carbohydrate binding	A. thaliana	UP000006548_3702
GO:0030276	clathrin binding	A. thaliana	UP000006548_3702
GO:0030422	production of siRNA involved in RNA interference	A. thaliana	UP000006548_3702
GO:0030433	ubiquitin-dependent ERAD pathway	A. thaliana	UP000006548_3702
GO:0030552	cAMP binding	A. thaliana	UP000006548_3702
GO:0030553	cGMP binding	A. thaliana	UP000006548_3702
GO:0030983	mismatched DNA binding	A. thaliana	UP000006548_3702
GO:0031047	gene silencing by RNA	A. thaliana	UP000006548_3702
GO:0031267	small GTPase binding	A. thaliana	UP000006548_3702
GO:0031965	nuclear membrane	A. thaliana	UP000006548_3702
GO:0031969	chloroplast membrane	A. thaliana	UP000006548_3702
GO:0032012	regulation of ARF protein signal transduction	A. thaliana	UP000006548_3702
GO:0032452	histone demethylase activity	A. thaliana	UP000006548_3702
GO:0032508	DNA duplex unwinding	A. thaliana	UP000006548_3702
GO:0032968	positive regulation of transcription elongation from RNA polymerase II promoter	A. thaliana	UP000006548_3702
GO:0034220	ion transmembrane transport	A. thaliana	UP000006548_3702
GO:0034647	histone H3-tri/di/monomethyl-lysine-4 demethylase activity	A. thaliana	UP000006548_3702
GO:0034721	histone H3-K4 demethylation, trimethyl-H3-K4-specific	A. thaliana	UP000006548_3702
GO:0034765	regulation of ion transmembrane transport	A. thaliana	UP000006548_3702
GO:0035091	phosphatidylinositol binding	A. thaliana	UP000006548_3702
GO:0035194	post-transcriptional gene silencing by RNA	A. thaliana	UP000006548_3702
GO:0035556	intracellular signal transduction	A. thaliana	UP000006548_3702
GO:0035672	oligopeptide transmembrane transport	A. thaliana	UP000006548_3702
GO:0035673	oligopeptide transmembrane transporter activity	A. thaliana	UP000006548_3702
GO:0040029	regulation of gene expression, epigenetic	A. thaliana	UP000006548_3702
GO:0042026	protein refolding	A. thaliana	UP000006548_3702
GO:0042128	nitrate assimilation	A. thaliana	UP000006548_3702
GO:0042277	peptide binding	A. thaliana	UP000006548_3702
GO:0042300	beta-amyrin synthase activity	A. thaliana	UP000006548_3702
GO:0042393	histone binding	A. thaliana	UP000006548_3702
GO:0042545	cell wall modification	A. thaliana	UP000006548_3702
GO:0042626	ATPase-coupled transmembrane transporter activity	A. thaliana	UP000006548_3702
GO:0042742	defense response to bacterium	A. thaliana	UP000006548_3702
GO:0042802	identical protein binding	A. thaliana	UP000006548_3702
GO:0042908	xenobiotic transport	A. thaliana	UP000006548_3702
GO:0042910	xenobiotic transmembrane transporter activity	A. thaliana	UP000006548_3702
GO:0043138	3'-5' DNA helicase activity	A. thaliana	UP000006548_3702
GO:0043231	intracellular membrane-bounded organelle	A. thaliana	UP000006548_3702
GO:0043531	ADP binding	A. thaliana	UP000006548_3702
GO:0045010	actin nucleation	A. thaliana	UP000006548_3702
GO:0045087	innate immune response	A. thaliana	UP000006548_3702
GO:0045330	aspartyl esterase activity	A. thaliana	UP000006548_3702
GO:0045332	phospholipid translocation	A. thaliana	UP000006548_3702
GO:0045490	pectin catabolic process	A. thaliana	UP000006548_3702
GO:0045493	xylan catabolic process	A. thaliana	UP000006548_3702
GO:0046527	glucosyltransferase activity	A. thaliana	UP000006548_3702
GO:0046556	alpha-L-arabinofuranosidase activity	A. thaliana	UP000006548_3702
GO:0046777	protein autophosphorylation	A. thaliana	UP000006548_3702
GO:0046854	phosphatidylinositol phosphate biosynthetic process	A. thaliana	UP000006548_3702
GO:0046856	phosphatidylinositol dephosphorylation	A. thaliana	UP000006548_3702
GO:0046872	metal ion binding	A. thaliana	UP000006548_3702
GO:0048015	phosphatidylinositol-mediated signaling	A. thaliana	UP000006548_3702
GO:0048364	root development	A. thaliana	UP000006548_3702
GO:0048471	perinuclear region of cytoplasm	A. thaliana	UP000006548_3702
GO:0048544	recognition of pollen	A. thaliana	UP000006548_3702
GO:0050135	NAD(P)+ nucleosidase activity	A. thaliana	UP000006548_3702
GO:0050660	flavin adenine dinucleotide binding	A. thaliana	UP000006548_3702
GO:0050661	NADP binding	A. thaliana	UP000006548_3702
GO:0050790	regulation of catalytic activity	A. thaliana	UP000006548_3702
GO:0051015	actin filament binding	A. thaliana	UP000006548_3702
GO:0051301	cell division	A. thaliana	UP000006548_3702
GO:0051321	meiotic cell cycle	A. thaliana	UP000006548_3702
GO:0051453	regulation of intracellular pH	A. thaliana	UP000006548_3702
GO:0051753	mannan synthase activity	A. thaliana	UP000006548_3702
GO:0051762	sesquiterpene biosynthetic process	A. thaliana	UP000006548_3702
GO:0055028	cortical microtubule	A. thaliana	UP000006548_3702
GO:0055085	transmembrane transport	A. thaliana	UP000006548_3702
GO:0061809	NAD+ nucleotidase, cyclic ADP-ribose generating	A. thaliana	UP000006548_3702
GO:0070290	N-acylphosphatidylethanolamine-specific phospholipase D activity	A. thaliana	UP000006548_3702
GO:0070413	trehalose metabolism in response to stress	A. thaliana	UP000006548_3702
GO:0070588	calcium ion transmembrane transport	A. thaliana	UP000006548_3702
GO:0071230	cellular response to amino acid stimulus	A. thaliana	UP000006548_3702
GO:0071555	cell wall organization	A. thaliana	UP000006548_3702
GO:0071805	potassium ion transmembrane transport	A. thaliana	UP000006548_3702
GO:0071897	DNA biosynthetic process	A. thaliana	UP000006548_3702
GO:0071949	FAD binding	A. thaliana	UP000006548_3702
GO:0072583	clathrin-dependent endocytosis	A. thaliana	UP000006548_3702
GO:0080008	Cul4-RING E3 ubiquitin ligase complex	A. thaliana	UP000006548_3702
GO:0080043	quercetin 3-O-glucosyltransferase activity	A. thaliana	UP000006548_3702
GO:0080188	gene silencing by RNA-directed DNA methylation	A. thaliana	UP000006548_3702
GO:0090110	COPII-coated vesicle cargo loading	A. thaliana	UP000006548_3702
GO:0090116	C-5 methylation of cytosine	A. thaliana	UP000006548_3702
GO:0090305	nucleic acid phosphodiester bond hydrolysis	A. thaliana	UP000006548_3702
GO:0090406	pollen tube	A. thaliana	UP000006548_3702
GO:0097502	mannosylation	A. thaliana	UP000006548_3702
GO:0098655	cation transmembrane transport	A. thaliana	UP000006548_3702
GO:0102483	scopolin beta-glucosidase activity	A. thaliana	UP000006548_3702
GO:0106310	protein serine kinase activity	A. thaliana	UP000006548_3702
GO:0120029	proton export across plasma membrane	A. thaliana	UP000006548_3702
GO:0140326	ATPase-coupled intramembrane lipid transporter activity	A. thaliana	UP000006548_3702
GO:0140359	ABC-type transporter activity	A. thaliana	UP000006548_3702
GO:0140658	ATP-dependent chromatin remodeler activity	A. thaliana	UP000006548_3702
GO:1902600	proton transmembrane transport	A. thaliana	UP000006548_3702
GO:1990961	xenobiotic detoxification by transmembrane export across the plasma membrane	A. thaliana	UP000006548_3702
GO:0000118	histone deacetylase complex	B. taurus	UP000009136_9913
GO:0000122	negative regulation of transcription by RNA polymerase II	B. taurus	UP000009136_9913
GO:0000146	microfilament motor activity	B. taurus	UP000009136_9913
GO:0000226	microtubule cytoskeleton organization	B. taurus	UP000009136_9913
GO:0000242	pericentriolar material	B. taurus	UP000009136_9913
GO:0000281	mitotic cytokinesis	B. taurus	UP000009136_9913
GO:0000287	magnesium ion binding	B. taurus	UP000009136_9913
GO:0000781	chromosome, telomeric region	B. taurus	UP000009136_9913
GO:0000785	chromatin	B. taurus	UP000009136_9913
GO:0000902	cell morphogenesis	B. taurus	UP000009136_9913
GO:0000922	spindle pole	B. taurus	UP000009136_9913
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	B. taurus	UP000009136_9913
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	B. taurus	UP000009136_9913
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	B. taurus	UP000009136_9913
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	B. taurus	UP000009136_9913
GO:0001578	microtubule bundle formation	B. taurus	UP000009136_9913
GO:0001650	fibrillar center	B. taurus	UP000009136_9913
GO:0001701	in utero embryonic development	B. taurus	UP000009136_9913
GO:0001726	ruffle	B. taurus	UP000009136_9913
GO:0001755	neural crest cell migration	B. taurus	UP000009136_9913
GO:0001822	kidney development	B. taurus	UP000009136_9913
GO:0001843	neural tube closure	B. taurus	UP000009136_9913
GO:0002039	p53 binding	B. taurus	UP000009136_9913
GO:0002116	semaphorin receptor complex	B. taurus	UP000009136_9913
GO:0002244	hematopoietic progenitor cell differentiation	B. taurus	UP000009136_9913
GO:0003341	cilium movement	B. taurus	UP000009136_9913
GO:0003678	DNA helicase activity	B. taurus	UP000009136_9913
GO:0003682	chromatin binding	B. taurus	UP000009136_9913
GO:0003713	transcription coactivator activity	B. taurus	UP000009136_9913
GO:0003714	transcription corepressor activity	B. taurus	UP000009136_9913
GO:0003724	RNA helicase activity	B. taurus	UP000009136_9913
GO:0003725	double-stranded RNA binding	B. taurus	UP000009136_9913
GO:0003774	cytoskeletal motor activity	B. taurus	UP000009136_9913
GO:0003777	microtubule motor activity	B. taurus	UP000009136_9913
GO:0003779	actin binding	B. taurus	UP000009136_9913
GO:0003824	catalytic activity	B. taurus	UP000009136_9913
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity	B. taurus	UP000009136_9913
GO:0004197	cysteine-type endopeptidase activity	B. taurus	UP000009136_9913
GO:0004222	metalloendopeptidase activity	B. taurus	UP000009136_9913
GO:0004386	helicase activity	B. taurus	UP000009136_9913
GO:0004435	phosphatidylinositol phospholipase C activity	B. taurus	UP000009136_9913
GO:0004672	protein kinase activity	B. taurus	UP000009136_9913
GO:0004674	protein serine/threonine kinase activity	B. taurus	UP000009136_9913
GO:0004712	protein serine/threonine/tyrosine kinase activity	B. taurus	UP000009136_9913
GO:0004713	protein tyrosine kinase activity	B. taurus	UP000009136_9913
GO:0004714	transmembrane receptor protein tyrosine kinase activity	B. taurus	UP000009136_9913
GO:0004715	non-membrane spanning protein tyrosine kinase activity	B. taurus	UP000009136_9913
GO:0004843	thiol-dependent deubiquitinase	B. taurus	UP000009136_9913
GO:0005005	transmembrane-ephrin receptor activity	B. taurus	UP000009136_9913
GO:0005044	scavenger receptor activity	B. taurus	UP000009136_9913
GO:0005085	guanyl-nucleotide exchange factor activity	B. taurus	UP000009136_9913
GO:0005096	GTPase activator activity	B. taurus	UP000009136_9913
GO:0005178	integrin binding	B. taurus	UP000009136_9913
GO:0005201	extracellular matrix structural constituent	B. taurus	UP000009136_9913
GO:0005229	intracellular calcium activated chloride channel activity	B. taurus	UP000009136_9913
GO:0005248	voltage-gated sodium channel activity	B. taurus	UP000009136_9913
GO:0005249	voltage-gated potassium channel activity	B. taurus	UP000009136_9913
GO:0005262	calcium channel activity	B. taurus	UP000009136_9913
GO:0005452	inorganic anion exchanger activity	B. taurus	UP000009136_9913
GO:0005506	iron ion binding	B. taurus	UP000009136_9913
GO:0005509	calcium ion binding	B. taurus	UP000009136_9913
GO:0005516	calmodulin binding	B. taurus	UP000009136_9913
GO:0005524	ATP binding	B. taurus	UP000009136_9913
GO:0005604	basement membrane	B. taurus	UP000009136_9913
GO:0005634	nucleus	B. taurus	UP000009136_9913
GO:0005654	nucleoplasm	B. taurus	UP000009136_9913
GO:0005730	nucleolus	B. taurus	UP000009136_9913
GO:0005737	cytoplasm	B. taurus	UP000009136_9913
GO:0005769	early endosome	B. taurus	UP000009136_9913
GO:0005794	Golgi apparatus	B. taurus	UP000009136_9913
GO:0005813	centrosome	B. taurus	UP000009136_9913
GO:0005814	centriole	B. taurus	UP000009136_9913
GO:0005829	cytosol	B. taurus	UP000009136_9913
GO:0005856	cytoskeleton	B. taurus	UP000009136_9913
GO:0005871	kinesin complex	B. taurus	UP000009136_9913
GO:0005874	microtubule	B. taurus	UP000009136_9913
GO:0005887	integral component of plasma membrane	B. taurus	UP000009136_9913
GO:0005891	voltage-gated calcium channel complex	B. taurus	UP000009136_9913
GO:0005902	microvillus	B. taurus	UP000009136_9913
GO:0005903	brush border	B. taurus	UP000009136_9913
GO:0005911	cell-cell junction	B. taurus	UP000009136_9913
GO:0005912	adherens junction	B. taurus	UP000009136_9913
GO:0005925	focal adhesion	B. taurus	UP000009136_9913
GO:0005930	axoneme	B. taurus	UP000009136_9913
GO:0006171	cAMP biosynthetic process	B. taurus	UP000009136_9913
GO:0006281	DNA repair	B. taurus	UP000009136_9913
GO:0006302	double-strand break repair	B. taurus	UP000009136_9913
GO:0006338	chromatin remodeling	B. taurus	UP000009136_9913
GO:0006357	regulation of transcription by RNA polymerase II	B. taurus	UP000009136_9913
GO:0006468	protein phosphorylation	B. taurus	UP000009136_9913
GO:0006508	proteolysis	B. taurus	UP000009136_9913
GO:0006511	ubiquitin-dependent protein catabolic process	B. taurus	UP000009136_9913
GO:0006897	endocytosis	B. taurus	UP000009136_9913
GO:0006974	cellular response to DNA damage stimulus	B. taurus	UP000009136_9913
GO:0007010	cytoskeleton organization	B. taurus	UP000009136_9913
GO:0007018	microtubule-based movement	B. taurus	UP000009136_9913
GO:0007043	cell-cell junction assembly	B. taurus	UP000009136_9913
GO:0007155	cell adhesion	B. taurus	UP000009136_9913
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	B. taurus	UP000009136_9913
GO:0007160	cell-matrix adhesion	B. taurus	UP000009136_9913
GO:0007162	negative regulation of cell adhesion	B. taurus	UP000009136_9913
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	B. taurus	UP000009136_9913
GO:0007179	transforming growth factor beta receptor signaling pathway	B. taurus	UP000009136_9913
GO:0007229	integrin-mediated signaling pathway	B. taurus	UP000009136_9913
GO:0007409	axonogenesis	B. taurus	UP000009136_9913
GO:0007411	axon guidance	B. taurus	UP000009136_9913
GO:0007420	brain development	B. taurus	UP000009136_9913
GO:0007507	heart development	B. taurus	UP000009136_9913
GO:0007528	neuromuscular junction development	B. taurus	UP000009136_9913
GO:0007605	sensory perception of sound	B. taurus	UP000009136_9913
GO:0008013	beta-catenin binding	B. taurus	UP000009136_9913
GO:0008017	microtubule binding	B. taurus	UP000009136_9913
GO:0008022	protein C-terminus binding	B. taurus	UP000009136_9913
GO:0008104	protein localization	B. taurus	UP000009136_9913
GO:0008270	zinc ion binding	B. taurus	UP000009136_9913
GO:0008285	negative regulation of cell population proliferation	B. taurus	UP000009136_9913
GO:0008305	integrin complex	B. taurus	UP000009136_9913
GO:0008331	high voltage-gated calcium channel activity	B. taurus	UP000009136_9913
GO:0008569	minus-end-directed microtubule motor activity	B. taurus	UP000009136_9913
GO:0008574	plus-end-directed microtubule motor activity	B. taurus	UP000009136_9913
GO:0009791	post-embryonic development	B. taurus	UP000009136_9913
GO:0009888	tissue development	B. taurus	UP000009136_9913
GO:0009986	cell surface	B. taurus	UP000009136_9913
GO:0010468	regulation of gene expression	B. taurus	UP000009136_9913
GO:0010976	positive regulation of neuron projection development	B. taurus	UP000009136_9913
